rank	file	frame	game	floor_frac	old-aug_sane	old-aug_res	old-aug_match	old-aug_pts	NEW-33_sane	NEW-33_res	NEW-33_match	NEW-33_pts	NEW-grid_sane	NEW-grid_res	NEW-grid_match	NEW-grid_pts
580	0580_8Ap3jYl0nAA_s1320_t0084.jpg	8Ap3jYl0nAA_s1320_t0084	2019 TOR@PHI	0.197	0	nan	0	14	1	3.328917980194092	30	14	1	6.02298641204834	33	38
581	0581_qAeUUwn-A8s_s2580_t0016.jpg	qAeUUwn-A8s_s2580_t0016	2024 DEN@MIN	0.417	1	6.4478759765625	46	12	1	3.9271843433380127	85	12	1	6.0171918869018555	52	31
582	0582_92fLApYaCGI_s5580_t0086.jpg	92fLApYaCGI_s5580_t0086	1998 CHI@UTA	0.275	0	nan	0	0	1	1.6008421182632446	31	14	1	6.008228302001953	21	46
583	0583_H56iR3188P0_s6540_t0124.jpg	H56iR3188P0_s6540_t0124	2013 SAS@MIA	0.252	0	nan	0	0	1	5.497579097747803	32	10	1	5.993730068206787	37	30
584	0584_qAeUUwn-A8s_s2580_t0258.jpg	qAeUUwn-A8s_s2580_t0258	2024 DEN@MIN	0.450	1	5.823848247528076	41	11	1	4.332418441772461	54	12	1	5.987621307373047	90	31
585	0585_92fLApYaCGI_s1380_t0276.jpg	92fLApYaCGI_s1380_t0276	1998 CHI@UTA	0.320	0	nan	0	0	1	3.089735269546509	28	12	1	5.974312782287598	23	37
586	0586_8Ap3jYl0nAA_s5340_t0216.jpg	8Ap3jYl0nAA_s5340_t0216	2019 TOR@PHI	0.196	0	nan	0	10	1	4.817922592163086	105	16	1	5.971819877624512	67	45
587	0587_8Ap3jYl0nAA_s5340_t0084.jpg	8Ap3jYl0nAA_s5340_t0084	2019 TOR@PHI	0.222	1	5.228028297424316	34	12	1	4.0188798904418945	57	15	1	5.970520496368408	47	37
588	0588_8Ap3jYl0nAA_s5340_t0082.jpg	8Ap3jYl0nAA_s5340_t0082	2019 TOR@PHI	0.223	1	4.709348678588867	72	12	1	4.499996185302734	59	15	1	5.969372749328613	57	36
589	0589_8Ap3jYl0nAA_s3300_t0216.jpg	8Ap3jYl0nAA_s3300_t0216	2019 TOR@PHI	0.184	0	nan	0	0	1	4.2845683097839355	54	13	1	5.9692864418029785	34	39
590	0590_qAeUUwn-A8s_s2580_t0248.jpg	qAeUUwn-A8s_s2580_t0248	2024 DEN@MIN	0.420	0	nan	0	0	1	3.867910385131836	82	11	1	5.963150501251221	64	30
591	0591_qAeUUwn-A8s_s4200_t0048.jpg	qAeUUwn-A8s_s4200_t0048	2024 DEN@MIN	0.480	1	3.5907766819000244	43	12	1	6.496325492858887	64	12	1	5.951117038726807	71	29
592	0592_qAeUUwn-A8s_s4200_t0244.jpg	qAeUUwn-A8s_s4200_t0244	2024 DEN@MIN	0.401	1	5.209958076477051	56	12	1	4.56452751159668	55	14	1	5.944866180419922	42	44
593	0593_qAeUUwn-A8s_s4200_t0080.jpg	qAeUUwn-A8s_s4200_t0080	2024 DEN@MIN	0.399	1	4.820168495178223	50	8	1	4.967611312866211	63	11	1	5.937155723571777	62	28
594	0594_qAeUUwn-A8s_s1020_t0084.jpg	qAeUUwn-A8s_s1020_t0084	2024 DEN@MIN	0.463	1	5.138172626495361	53	11	1	5.565499305725098	73	12	1	5.928380489349365	73	29
595	0595_8Ap3jYl0nAA_s5340_t0004.jpg	8Ap3jYl0nAA_s5340_t0004	2019 TOR@PHI	0.151	1	4.500072479248047	79	14	1	3.6942036151885986	41	16	1	5.916927337646484	46	40
596	0596_92fLApYaCGI_s1380_t0242.jpg	92fLApYaCGI_s1380_t0242	1998 CHI@UTA	0.200	0	nan	0	19	1	nan	11	18	1	5.916722774505615	21	48
597	0597_qAeUUwn-A8s_s4200_t0268.jpg	qAeUUwn-A8s_s4200_t0268	2024 DEN@MIN	0.448	1	5.49998664855957	57	12	1	3.682163953781128	89	14	1	5.905830383300781	71	37
598	0598_H56iR3188P0_s1620_t0294.jpg	H56iR3188P0_s1620_t0294	2013 SAS@MIA	0.197	1	4.8392462730407715	34	15	1	3.942403793334961	42	13	1	5.899065017700195	31	41
599	0599_qAeUUwn-A8s_s1020_t0150.jpg	qAeUUwn-A8s_s1020_t0150	2024 DEN@MIN	0.349	1	3.500006675720215	61	9	1	4.5034565925598145	77	12	1	5.8968305587768555	90	26
